MWBG	Vowel	Duration	f0	F1	F2	F3	F4
m	ah	292	140	821	1283	2498	4190
m	ah	286	101	822	1315	2708	3689
m	ah	285	180	753	1200	2677	NA
m	ah	301	120	662	1183	2374	NA
m	ah	207	122	682	1259	2618	3833
m	ah	270	124	818	1315	2697	NA
m	ah	250	110	710	1483	2575	3748
w	ah	265	211	1012	1603	2767	4281
w	ah	443	209	883	1682	2962	4059
w	ah	257	192	1025	1548	2748	5478
w	ah	350	216	804	1484	2789	4355
w	ah	365	226	935	1377	2598	4753
w	ah	329	211	804	1363	2803	NA
w	ah	306	173	939	1233	2564	4119
w	ah	317	243	827	1701	3056	3892
w	ah	282	240	913	1436	2589	4097
w	ah	367	223	856	1540	2667	3942
w	ah	380	191	882	1380	2834	4120
w	ah	343	216	887	1743	2557	NA
w	ah	329	226	869	1495	2731	3937
w	ah	275	211	994	1609	2930	NA
w	ah	340	226	955	1615	2678	3681
w	ah	305	189	1085	1687	2870	4578
w	ah	267	205	937	1623	2844	3898
w	ah	316	239	918	1640	2801	4234
w	ah	365	193	818	1351	2933	4160
w	ah	402	216	769	1451	2898	3949
w	ah	350	178	1008	1495	3018	4151
w	ah	329	207	905	1514	2848	4537
w	ah	303	259	1063	1680	2785	4405
w	ah	430	212	1053	1677	2868	4142
w	ah	333	170	798	1351	2851	4228
w	ah	284	250	869	1751	2762	4207
w	ah	217	235	863	1538	3038	4298
w	ah	303	248	938	1462	2825	4715
w	ah	293	232	957	1591	2733	5540
w	ah	315	202	827	1543	2980	4355
w	ah	240	213	708	1547	2426	NA
w	ah	283	241	1163	1685	3250	NA
w	ah	247	211	1011	1541	2803	4256
w	ah	310	201	1035	1486	2865	4155
w	ah	455	208	952	1676	2862	4116
w	ah	419	175	810	1314	3236	NA
w	ah	336	217	993	1671	2751	4150
w	ah	338	212	931	1348	2698	4540
w	ah	297	198	822	1371	3130	4176
w	ah	298	200	875	1491	2979	4155
w	ah	268	226	884	1568	2819	NA
w	ah	340	212	938	1492	2673	3930
w	ah	312	195	914	1383	2854	4456
w	ah	334	150	901	1509	2670	5312
w	ah	302	207	975	1534	2658	4104
w	ah	346	218	796	1502	2810	3801
w	ah	326	224	1145	NA	3272	4370
w	ah	357	234	968	1433	2850	4296
b	ah	212	241	831	1676	2602	5616
b	ah	328	276	1020	1555	2742	NA
b	ah	298	214	982	1823	2865	4624
b	ah	357	250	932	1874	2994	4636
b	ah	270	227	1052	1659	3433	4784
b	ah	294	308	881	1543	3076	4050
b	ah	340	202	762	1604	2991	NA
b	ah	285	230	987	1610	3010	4334
b	ah	413	209	1123	1640	2684	3752
b	ah	282	203	832	1602	2551	3921
b	ah	425	258	968	1808	3600	4732
b	ah	273	211	933	1694	2860	4486
b	ah	263	201	998	1560	2745	3923
b	ah	340	287	871	2042	3410	NA
b	ah	364	187	859	NA	2789	5556
b	ah	327	245	898	1544	2862	3810
b	ah	281	254	1010	1705	2753	3899
b	ah	292	218	951	1982	2807	NA
b	ah	363	226	1010	1604	2588	3810
b	ah	350	263	854	1518	2988	4522
b	ah	292	277	1119	1588	3010	3974
b	ah	238	228	1205	NA	2708	3883
b	ah	295	220	872	1565	2531	4389
b	ah	314	210	776	1490	2730	3929
b	ah	270	223	1147	1553	2877	3946
b	ah	271	221	1065	1483	2723	3726
b	ah	285	227	944	1540	2896	4298
g	ah	276	238	894	1420	2828	4068
g	ah	298	208	1312	1820	3308	4288
g	ah	324	246	1007	1742	2982	NA
g	ah	375	204	978	1817	2843	4425
g	ah	275	225	1026	1544	2536	4225
g	ah	384	227	843	1803	2562	NA
g	ah	407	249	993	2000	3174	4186
g	ah	321	245	1197	1734	3187	4712
g	ah	282	218	855	1845	3055	4493
g	ah	298	240	1047	1488	2879	NA
g	ah	317	200	1154	1932	3044	4564
g	ah	334	241	931	1749	3205	4326
g	ah	308	189	954	1472	2844	3811
g	ah	299	233	1316	1752	3113	4180
g	ah	304	248	911	1624	3230	4155
g	ah	416	214	1033	1929	3428	NA
g	ah	220	235	1129	2005	2826	3914
g	ah	259	234	1145	1655	3062	NA
g	ah	186	215	1021	1720	3186	4359
m	aw	330	177	699	996	2548	3443
m	aw	289	106	644	856	2627	3360
m	aw	355	93	647	926	2785	3345
m	aw	347	131	694	970	2746	3760
m	aw	250	115	740	999	2691	3762
m	aw	292	96	642	949	2437	3663
m	aw	294	120	651	1033	2477	3559
m	aw	342	123	620	1068	2634	NA
m	aw	296	151	637	923	2722	3230
m	aw	363	162	695	1108	2384	3683
m	aw	283	104	664	1024	2639	3353
m	aw	248	108	664	1043	2575	3541
m	aw	223	142	628	1069	2689	3375
m	aw	278	142	634	987	2305	3747
m	aw	320	146	662	1001	2744	3642
m	aw	274	154	653	1020	2810	NA
m	aw	287	138	648	1013	2473	3455
m	aw	253	107	631	1019	2219	NA
m	aw	316	120	688	1139	2549	3782
m	aw	292	111	696	983	2603	3892
m	aw	248	127	691	1111	2439	3699
m	aw	249	109	587	941	2371	3553
m	aw	282	111	636	978	2220	NA
m	aw	171	103	686	1064	2432	3335
m	aw	222	122	681	1060	2863	3640
m	aw	226	117	720	1063	2369	3620
m	aw	344	92	619	1012	2460	3639
m	aw	196	155	640	1149	2227	3355
m	aw	195	144	633	995	2500	NA
m	aw	268	133	649	1048	2441	3348
m	aw	239	116	623	1012	2506	3357
m	aw	304	106	645	1049	2507	3468
m	aw	300	112	645	1063	2565	3454
m	aw	202	130	606	991	2135	2814
m	aw	229	142	636	1108	2623	3693
m	aw	196	124	670	919	2241	3048
m	aw	281	131	631	1167	2344	3799
m	aw	249	134	687	1062	2524	3711
m	aw	328	131	684	1000	2576	3569
m	aw	301	100	684	1001	2833	3572
m	aw	293	184	704	1052	2749	3611
m	aw	300	121	591	974	2325	3357
m	aw	242	118	611	1067	2491	3636
m	aw	293	121	643	931	2630	3351
m	aw	277	109	679	1102	2424	3566
w	aw	305	218	815	1200	2783	4015
w	aw	464	211	760	1225	2796	3956
w	aw	326	186	772	1051	2870	NA
w	aw	379	203	770	1245	2811	4094
w	aw	363	231	923	1368	2503	NA
w	aw	363	212	778	1220	2677	NA
w	aw	314	167	809	1097	2646	3795
w	aw	320	242	815	1426	2990	3907
w	aw	309	241	890	1063	2523	3781
w	aw	416	225	771	1170	2760	3765
w	aw	380	197	755	1114	2766	3769
w	aw	397	227	930	1422	2489	3832
w	aw	363	234	697	1142	2507	3983
w	aw	266	223	748	1063	2876	4302
w	aw	394	229	827	1189	2633	3742
w	aw	342	201	847	1192	2999	4201
w	aw	341	211	794	1185	2896	3708
w	aw	327	241	848	1175	2892	4199
w	aw	344	185	713	1132	2948	3888
w	aw	465	226	698	1127	2886	3957
w	aw	318	191	736	1120	3055	3999
w	aw	362	209	835	1326	2667	4042
w	aw	366	247	907	1527	3075	3947
w	aw	414	205	811	1254	2824	4143
w	aw	378	180	656	1075	2684	4127
w	aw	284	244	890	1292	2801	NA
w	aw	262	217	860	1504	2834	3960
w	aw	327	212	740	1037	2736	NA
w	aw	319	233	867	1207	2746	3719
w	aw	384	194	776	1324	2852	4064
w	aw	287	226	699	1104	2513	5012
w	aw	328	241	906	1386	3066	NA
w	aw	253	210	814	1144	2729	4270
w	aw	331	207	801	1187	2935	3882
w	aw	422	213	822	1177	2950	3807
w	aw	413	196	851	1105	3249	3691
w	aw	327	219	825	1213	2751	3743
w	aw	369	211	752	1101	2616	3732
w	aw	303	200	765	997	3477	NA
w	aw	332	198	957	NA	3066	4084
w	aw	387	237	799	1146	2770	4049
w	aw	390	222	715	963	2455	3815
w	aw	351	196	790	1044	2933	NA
w	aw	396	162	850	1182	2909	3824
w	aw	310	206	813	1117	2585	3653
w	aw	355	221	736	1098	2821	3492
w	aw	318	219	677	1054	3278	3995
w	aw	361	246	995	1359	2941	3877
b	aw	242	247	725	1384	2642	4002
b	aw	327	263	802	1287	2729	3980
b	aw	334	207	805	1299	2582	4242
b	aw	304	244	817	1329	2965	4583
b	aw	236	199	780	1236	3360	4301
b	aw	378	301	891	1383	3039	4250
b	aw	353	207	610	993	2946	NA
b	aw	313	238	845	1111	3049	4043
b	aw	316	208	695	1288	3014	3966
b	aw	331	194	761	1310	2801	4157
b	aw	369	251	985	1630	2989	4393
b	aw	322	210	875	1402	2830	3802
b	aw	243	206	950	1246	2853	3961
b	aw	312	258	750	1251	3003	3805
b	aw	367	201	819	1074	2918	3814
b	aw	315	264	744	1093	2898	3829
b	aw	269	249	808	1467	2997	3931
b	aw	294	222	820	1356	2700	3925
b	aw	376	240	831	NA	2566	3653
b	aw	384	249	746	1309	2957	3929
b	aw	313	268	765	1067	3266	4042
b	aw	196	203	770	1010	2411	3703
b	aw	340	213	839	1240	2636	3840
b	aw	362	220	635	1163	NA	NA
b	aw	250	215	792	1268	2988	3553
b	aw	267	216	640	929	2654	3529
b	aw	305	214	941	1409	2729	3989
g	aw	349	240	867	1292	3296	4043
g	aw	249	217	875	1501	3294	4314
g	aw	430	244	885	1415	3196	4086
g	aw	368	210	882	1309	2834	4171
g	aw	300	224	888	1266	2632	3959
g	aw	342	233	697	1358	2263	3640
g	aw	377	270	787	1234	2924	3939
g	aw	425	301	932	1445	3107	4639
g	aw	285	226	893	1563	3131	4306
g	aw	380	232	898	1359	2850	3943
g	aw	323	241	952	1665	3063	4440
g	aw	339	234	823	1356	3419	NA
g	aw	332	214	854	1109	2960	NA
g	aw	360	239	894	1366	3371	4038
g	aw	291	233	757	1242	3288	4072
g	aw	441	215	1062	NA	3233	3994
g	aw	218	221	1090	1465	2981	3936
g	aw	274	246	998	1368	3282	3929
g	aw	259	218	1001	1488	3149	4058
m	eh	266	171	609	1980	2678	3695
m	eh	167	103	517	1917	2438	3398
m	eh	284	95	559	1695	2413	3701
m	eh	229	127	698	1580	2492	4142
m	eh	177	115	555	1851	2624	3626
m	eh	197	104	571	1926	2615	NA
m	eh	239	126	582	1768	2463	3615
m	eh	239	120	560	1697	2663	3785
m	eh	186	154	594	1716	2678	3680
m	eh	261	146	569	1709	2502	3739
m	eh	203	99	577	1811	2559	3462
m	eh	231	110	570	1824	2627	3738
m	eh	156	144	546	1750	2509	3259
m	eh	181	138	554	1790	2469	NA
m	eh	170	131	608	1831	2694	3592
m	eh	185	151	562	1816	2707	3751
m	eh	199	137	583	1757	2852	NA
m	eh	138	128	615	1624	2265	3854
m	eh	184	122	630	1786	2637	NA
m	eh	227	111	629	1810	2639	4558
m	eh	153	119	624	1909	2773	4101
m	eh	190	109	559	1755	2514	4012
m	eh	207	114	609	1675	2495	NA
m	eh	215	104	634	1874	2563	3391
m	eh	125	128	636	1893	2765	3480
m	eh	177	118	620	1832	2583	3525
m	eh	197	98	565	1805	2608	3736
m	eh	146	146	571	1752	2668	3652
m	eh	166	149	608	1871	2572	NA
m	eh	205	131	567	1718	2557	3528
m	eh	185	121	541	1743	2563	3609
m	eh	244	112	543	1840	2574	3413
m	eh	217	114	579	1866	2799	3558
m	eh	139	130	568	1687	2419	3426
m	eh	158	135	583	1760	2497	4025
m	eh	201	150	641	1814	2642	3564
m	eh	204	138	623	1937	2643	4105
m	eh	188	137	562	1591	2556	3776
m	eh	207	161	622	1799	2726	3729
m	eh	200	98	561	1786	2603	3473
m	eh	200	187	723	2208	3057	NA
m	eh	209	127	534	1608	2509	3469
m	eh	198	124	574	1813	2476	3840
m	eh	172	114	557	1996	2876	3797
m	eh	178	115	565	1952	2619	3756
w	eh	217	228	734	1893	2820	4393
w	eh	432	197	740	2186	3086	4490
w	eh	202	218	707	2110	3028	NA
w	eh	315	216	693	1991	3121	4569
w	eh	260	233	743	1981	2868	5577
w	eh	280	211	712	1881	2777	4033
w	eh	238	198	734	2141	2746	4213
w	eh	199	244	732	2189	3366	4521
w	eh	233	246	710	2138	2818	4261
w	eh	271	227	704	2023	2927	4235
w	eh	317	195	766	1922	2908	4186
w	eh	234	210	673	2389	2989	NA
w	eh	231	214	651	2157	2794	4265
w	eh	241	226	817	2242	3139	4458
w	eh	217	222	684	1992	2951	4264
w	eh	253	197	756	2008	3089	4856
w	eh	188	216	750	1935	2930	4141
w	eh	317	238	706	1986	3228	4463
w	eh	263	173	717	2256	2896	4225
w	eh	281	233	727	1871	2902	4122
w	eh	239	180	584	2175	2930	4378
w	eh	294	210	762	1902	2887	4203
w	eh	231	251	981	2075	3215	4359
w	eh	386	211	794	2046	3082	4549
w	eh	183	195	620	2071	2933	4185
w	eh	236	244	741	1997	2567	3302
w	eh	177	223	693	2012	3003	4322
w	eh	193	203	597	2426	3018	5138
w	eh	221	244	886	2186	2956	NA
w	eh	248	214	588	2130	2870	NA
w	eh	191	189	755	1762	2646	NA
w	eh	194	236	885	2322	3652	4600
w	eh	179	214	804	1998	2775	NA
w	eh	223	202	718	2005	2906	4402
w	eh	368	205	773	2042	3009	4296
w	eh	343	191	694	2160	3144	4529
w	eh	268	210	680	2068	3072	4355
w	eh	259	193	694	2052	2838	4309
w	eh	237	185	726	2123	2959	3984
w	eh	203	217	714	2255	2941	NA
w	eh	250	209	623	1882	3007	4272
w	eh	255	221	718	1952	2817	NA
w	eh	247	198	758	2091	2829	4177
w	eh	284	168	676	2196	3124	NA
w	eh	244	217	770	1866	2653	4130
w	eh	244	213	683	1851	2877	3893
w	eh	221	222	709	2088	2670	3294
w	eh	270	219	817	1984	2973	4218
b	eh	184	214	713	2095	3129	NA
b	eh	195	284	674	2196	3047	NA
b	eh	260	191	735	2315	3286	4624
b	eh	364	245	735	2448	3359	4483
b	eh	207	219	787	2176	3307	5325
b	eh	272	297	867	2054	3227	4266
b	eh	135	205	605	2445	3265	4748
b	eh	193	238	699	2202	3393	4786
b	eh	234	218	646	2435	3262	4416
b	eh	282	214	794	2066	3160	4553
b	eh	363	249	742	2355	3514	5082
b	eh	258	227	640	2244	3086	4758
b	eh	168	200	806	2172	3430	4318
b	eh	312	279	734	2242	3601	4720
b	eh	291	202	616	2356	3200	5135
b	eh	189	241	749	1869	3107	4224
b	eh	195	241	710	1993	3268	4397
b	eh	227	203	632	2431	3091	4386
b	eh	274	204	642	2015	2916	4168
b	eh	212	242	699	2169	3243	4489
b	eh	238	270	1057	2426	3441	NA
b	eh	165	212	744	2227	2966	5003
b	eh	215	232	692	2354	3179	NA
b	eh	331	217	668	2106	3353	4529
b	eh	192	231	699	2194	3317	4781
b	eh	210	221	680	2187	3099	4251
b	eh	212	231	856	2304	2916	NA
g	eh	202	227	653	2241	3167	4162
g	eh	218	188	928	2254	3612	NA
g	eh	277	245	802	2427	3488	NA
g	eh	328	226	809	2265	3309	4564
g	eh	174	222	660	2223	3354	4650
g	eh	284	230	649	2268	2827	4005
g	eh	294	244	741	2418	3665	5393
g	eh	292	238	763	2393	3241	4709
g	eh	278	227	816	2404	3448	4611
g	eh	227	226	793	2228	3560	5556
g	eh	250	236	762	2349	3484	5020
g	eh	250	263	759	2488	3502	4828
g	eh	297	211	621	2275	3146	4263
g	eh	266	226	880	2638	3567	4660
g	eh	204	249	755	2137	3384	4422
g	eh	258	205	533	2480	3378	5147
g	eh	222	229	868	2318	3567	NA
g	eh	228	228	882	2524	3555	4666
g	eh	227	230	733	2421	3250	NA
m	ei	319	166	494	2113	2700	3674
m	ei	261	105	438	2196	2480	3385
m	ei	353	91	438	2026	2476	3219
m	ei	253	134	493	2102	2839	3991
m	ei	241	120	497	2024	2677	3546
m	ei	281	100	555	2174	2900	4007
m	ei	328	133	529	1974	2638	3643
m	ei	318	122	446	1918	2674	3597
m	ei	273	151	439	2067	2708	3551
m	ei	360	141	433	2082	2620	3674
m	ei	243	95	439	2126	2762	3385
m	ei	256	109	495	2166	2668	3848
m	ei	218	143	482	1904	2526	3489
m	ei	259	148	435	2013	2506	3571
m	ei	338	151	445	2268	2798	3573
m	ei	246	156	492	2195	2786	NA
m	ei	237	141	535	2004	2939	NA
m	ei	196	126	382	2035	NA	NA
m	ei	251	121	499	2068	2676	NA
m	ei	311	116	477	2110	2563	3473
m	ei	274	131	529	2114	2731	4063
m	ei	267	112	494	1962	2608	4266
m	ei	262	113	504	1878	2549	2916
m	ei	252	115	472	2141	2623	3418
m	ei	231	124	490	2187	2722	NA
m	ei	211	139	393	2305	2694	3479
m	ei	338	94	374	2436	2803	3845
m	ei	239	158	444	2121	2547	NA
m	ei	219	148	500	2159	2634	3816
m	ei	311	142	480	2100	2576	3600
m	ei	261	116	469	2035	2660	3535
m	ei	312	108	438	2003	2552	3317
m	ei	269	121	478	2049	2866	3664
m	ei	193	140	497	1903	2455	3384
m	ei	255	155	477	2073	2617	3888
m	ei	286	151	440	2245	3044	3612
m	ei	230	142	502	2025	2642	4334
m	ei	217	139	501	1944	2643	3706
m	ei	319	138	549	1921	2686	3532
m	ei	269	101	497	2083	2628	3440
m	ei	255	181	537	2493	3151	3723
m	ei	282	123	482	1804	2551	3599
m	ei	247	120	501	2042	2617	4119
m	ei	229	138	441	2348	2935	3516
m	ei	256	109	492	2108	2974	3921
w	ei	239	227	539	2476	2868	4614
w	ei	453	220	477	2704	NA	4451
w	ei	263	208	672	2457	3190	3942
w	ei	437	226	601	2577	3091	4603
w	ei	302	241	487	2600	3130	5296
w	ei	318	214	492	2437	3001	4232
w	ei	330	186	553	2458	2788	3943
w	ei	274	238	496	2665	3173	4520
w	ei	222	265	505	2777	3044	NA
w	ei	347	220	455	2433	3023	4343
w	ei	413	214	574	2316	2854	NA
w	ei	329	238	502	2674	3394	4881
w	ei	318	236	647	2539	NA	4299
w	ei	230	206	596	2478	2924	NA
w	ei	325	244	500	2482	3060	4544
w	ei	336	207	617	2697	3154	4684
w	ei	261	210	558	2505	2855	4390
w	ei	334	244	572	2428	3120	4223
w	ei	305	203	574	2360	2686	3705
w	ei	346	238	498	2218	2894	4130
w	ei	269	166	511	2574	3085	4419
w	ei	342	211	513	2435	2939	4220
w	ei	349	263	617	2668	3319	4658
w	ei	399	212	610	2598	3323	4544
w	ei	420	171	485	2423	2912	4071
w	ei	284	243	578	2474	3055	4644
w	ei	231	234	507	2573	3121	4354
w	ei	280	246	504	2501	3050	4066
w	ei	313	245	494	2680	3156	NA
w	ei	338	212	487	2408	3094	3922
w	ei	277	215	547	2262	2708	NA
w	ei	296	247	500	2889	3452	NA
w	ei	267	211	433	2773	3297	NA
w	ei	314	215	591	2562	3156	4294
w	ei	402	211	596	2314	3113	4210
w	ei	367	193	500	2622	3305	4364
w	ei	310	224	645	2554	3047	4442
w	ei	344	198	434	2568	3053	4614
w	ei	296	202	543	2399	2775	4007
w	ei	298	214	555	2766	3181	4122
w	ei	343	232	484	2276	3151	3894
w	ei	300	217	442	2464	3067	3930
w	ei	319	205	606	2438	2723	4006
w	ei	377	160	485	2619	NA	NA
w	ei	313	218	472	2616	NA	NA
w	ei	309	224	546	2237	2864	3956
w	ei	305	214	439	2801	3084	4179
w	ei	361	252	664	2455	2915	NA
b	ei	222	230	534	2690	3335	NA
b	ei	324	277	556	2482	3428	4257
b	ei	286	201	608	2836	3599	4427
b	ei	323	252	574	2490	3189	4252
b	ei	247	215	611	2761	3269	4344
b	ei	361	320	629	2663	3132	4447
b	ei	285	223	606	2396	3015	4259
b	ei	258	235	555	2377	3123	4316
b	ei	314	197	580	2754	3405	4517
b	ei	309	210	571	2586	3293	4647
b	ei	357	260	554	2620	3604	5000
b	ei	280	242	532	2673	3363	4376
b	ei	260	203	436	2658	3519	NA
b	ei	382	262	558	2643	3216	5738
b	ei	346	193	564	2523	3286	4335
b	ei	245	250	499	2356	2983	3954
b	ei	265	257	621	2476	3195	4378
b	ei	285	222	652	2661	3448	4989
b	ei	465	232	463	2745	3155	NA
b	ei	322	250	558	2559	3311	4479
b	ei	336	271	586	2720	3446	NA
b	ei	199	212	613	2593	3103	4044
b	ei	294	219	441	2585	3014	3849
b	ei	426	233	654	2549	3427	4449
b	ei	293	239	494	2823	3444	NA
b	ei	309	239	510	2438	3126	4095
b	ei	289	236	655	2772	NA	4403
g	ei	320	243	496	2670	3256	4188
g	ei	286	211	648	2788	3723	NA
g	ei	350	266	561	2663	3550	4689
g	ei	321	220	638	2553	3348	4226
g	ei	261	225	542	2755	3283	4740
g	ei	421	242	544	2444	2605	4193
g	ei	438	257	513	2881	3667	4473
g	ei	364	258	536	2859	3507	4856
g	ei	310	236	740	2651	3049	3683
g	ei	315	240	494	2676	3280	3857
g	ei	293	262	594	2733	3413	4931
g	ei	345	258	550	2780	3468	NA
g	ei	351	222	564	2455	3100	4057
g	ei	386	237	497	2804	3315	NA
g	ei	280	258	575	2502	3445	4485
g	ei	325	209	570	3256	NA	NA
g	ei	223	234	618	2752	4040	NA
g	ei	294	249	540	2687	3504	4501
g	ei	259	235	558	2533	3224	4682
m	er	324	175	506	1418	1849	3306
